iban,date,currency,category,amount
MC47 7119 4030 53GC 69RV 4IPG U41,2020-03-13,PKR,Food - Frozen Foods,-1308.29
EE35 7286 8947 8550 8957,2021-09-15,ILS,Food - Meat,2646.8
ES15 3635 6181 2343 0947 1994,2025-11-02,EUR,Electronics,-1519.43
RS74 5880 5886 2679 0900 11,2024-12-18,IDR,Food - Cereals,-3696.61
LU56 284K 4ED9 IWMC RJQW,2022-06-11,PLN,Clothing,1864.56
RO02 TECK KDAI OV2M LBNP F9L9,2020-12-19,CUP,Health,-2277.4
HR36 7906 9467 5408 7715 8,2025-08-07,NOK,Toys,-4280.57
PK61 WJBF TXB2 M2CP WFJA 8O7G,2025-06-13,EUR,Food - Cooking Kits,3574.32
MC49 8707 3741 62JL 8DIX XPEM F99,2025-11-24,PLN,Food - Meat & Seafood,-2717.9
FR98 4391 8325 342H CMDN 8ZVB U38,2020-03-05,PHP,Food - Fruits,-2881.75
SE58 1656 3725 4692 4194 8642,2021-05-21,EUR,Pets,-2089.51
VG90 WZKD 2787 4175 4404 7469,2022-08-10,LAK,Pets,-3170.18
FR38 4862 9098 26VB V9RM ZVOS R71,2025-12-18,CNY,Food - Dairy,-4545.01
CR86 8539 0867 3881 8680 2,2025-08-22,EUR,Kitchen,-1677.9
DK28 8018 9734 0058 54,2020-01-31,CAD,Accessories,-453.23
NO24 9352 5147 850,2022-02-04,CNY,Clothing - Outerwear,-3743.38
BR81 5049 6844 5023 3010 0339 955G R,2022-05-29,CZK,Pets,-2574.81
NL33 JYTB 5119 4644 22,2020-09-04,BRL,Pets,1491.82
FR40 5579 6679 52R0 T3EB JCNJ F00,2025-09-08,ZAR,Outdoor,-4662.81
FR75 0233 1006 19LC FBXP 3HTV 305,2023-10-11,EUR,Food - Sides,2750.0
FR96 0525 8301 64W1 RMVY XRB7 995,2025-09-05,IDR,Clothing - Tops,4108.27
DK33 2988 2057 1993 59,2021-02-09,CNY,Food - Canned Soups,122.27
IS61 3273 1956 6944 1554 4883 04,2020-08-16,ARS,Food - Baking Goods,4062.64
FR49 9152 4177 78R1 CL46 HTWZ 131,2021-08-15,PLN,Home,2955.81
KW71 NGXT KC0H UZWK DEEF QRO8 NQ3A VG,2025-04-26,PLN,Kitchen,-2908.82
FR14 7385 2184 47P7 DTAJ XV4L N51,2023-06-18,BDT,Accessories,2836.89
KW56 FDBT 6GUU 0MDM 1IUL ESAL 9DKT 1Y,2024-12-01,EUR,Home,-3565.1
FR78 9218 4555 77RQ U1R7 CQXV H04,2026-01-09,BRL,Food - Frozen Meals,-1583.76
DK94 2802 8638 6125 61,2020-09-29,RUB,Food - Meat,-2019.67
CH84 7440 1RHI HJIG GLD6 C,2024-01-08,CNY,Kitchen,297.86
PT44 7943 6219 7824 4228 6745 5,2024-09-25,PEN,Kitchen,-1650.76
FR90 5304 4492 154I 41HD VK50 E25,2025-10-04,JPY,Home,3456.04
GL42 9115 8909 7897 42,2024-11-09,PHP,Outdoor,832.18
RO64 JQBN JGG8 38WN DBOZ 6YWA,2020-05-13,COP,Outdoor,2846.16
BH73 FKZF ILC1 9ZW1 0RU7 MO,2022-02-03,CNY,Crafts,3079.23
BH25 OBZI LQVQ 9E8O VSLT 2T,2021-01-09,HRK,Food - Frozen Vegetables,-355.96
TN50 7127 1635 6230 1897 2241,2023-05-20,ARS,Outdoor,725.52
FR16 9829 0052 96B8 4DAI 6JFG 414,2025-09-19,RSD,Food - Snacks,2845.04
FR55 1639 7584 70XU 13I2 UBX2 W88,2020-08-03,DKK,Food - Snacks,-3108.22
IL03 6161 1824 8180 5980 301,2025-09-29,CNY,Food - Snacks,-3899.07
FR79 2240 1511 37LM CJ28 0T9O S14,2021-08-14,XAF,Food - Grains,4019.35
GI66 TJCB BIQL WILJ 40T5 6QC,2021-02-20,EUR,Food - Condiments,-1602.96
RS37 3638 0605 8506 7559 79,2025-03-02,IDR,Home,1015.85
KW31 IEKE OSFR YC1X N2QM ETOW 3JGL OI,2022-08-12,KGS,Food - Condiments,-275.33
FO34 3204 4520 9181 83,2025-06-27,VND,Kitchen,-4353.95
SA36 18SF STGD YLSW 81XE QNIY,2021-06-01,PHP,Food - Dried Fruits,-4114.86
PT78 0799 5882 1759 6133 2931 8,2020-08-06,CZK,Kitchen,-3617.2
LU39 450O EY4K VZJU JHCT,2024-10-10,CNY,Kitchen,4337.87
GI97 HURU ZHS3 DX5A SETB W9F,2023-08-21,COP,Food - Canned Goods,734.69
FR91 9076 1503 78PH OKO7 G5RQ K51,2021-11-19,JMD,Office,807.05
ES94 5586 9617 2638 0614 0028,2021-10-21,CNY,Clothing - Accessories,3098.53
SA90 44CK EF9M L36Y XFCJ MMIL,2021-05-13,EUR,Electronics,2182.07
MT74 CEYB 8736 4WTY NSHT JBUO XKJQ CEC,2020-03-10,MWK,Audio,1041.72
DO16 K8TK 1206 2299 0961 0876 8937,2021-01-14,EUR,Kitchen,2252.13
EE35 1444 8074 7354 0839,2024-01-24,CAD,Food - Prepared Meals,2413.12
FR44 8680 2538 75W0 BD4C Y3MD U39,2020-08-10,CNY,Home Improvement,2159.23
MR89 6112 8747 9841 6887 1022 435,2021-06-02,PHP,Food - Dips,-3971.13
TR26 2452 5CXD T8LL ZEWQ T4DS BW,2020-06-08,BRL,Home,605.2
BR57 2667 6437 4303 8902 7088 751S M,2022-03-01,PLN,Outdoor,565.3
BG35 AIMX 5328 876Z UQJP MD,2023-09-06,RUB,Accessories,-3625.52
DO86 NYR9 0267 5254 9468 7110 8231,2020-06-20,EUR,Food - Canned Soups,2883.25
IT23 V906 6311 362R KQ1I FFX9 CZ4,2021-12-21,USD,Food - Canned Goods,2760.25
SI47 0694 4517 2335 063,2025-03-18,THB,Pets,3439.29
IL31 0266 6723 0980 0578 401,2023-03-15,UGX,Toys,1994.4
GB05 NEJW 1248 4561 4665 35,2023-02-24,THB,Garden,3309.78
FR98 4285 8551 21PU CXVP L1TD J26,2021-05-23,CNY,Toys,727.58
NO06 4625 8265 621,2022-07-31,BRL,Food - Snacks,3604.94
ES88 2149 7259 3684 0159 1597,2021-05-02,UAH,Food - Baking,-1472.97
KZ89 835R 6YKP O2BZ YUHZ,2023-04-11,PHP,Food - Grains,2909.81
AD85 6587 3389 HVRB 4KDW UIKM,2024-12-26,EUR,Garden,1277.32
LU32 8468 JCRF EFOO GNAV,2022-11-16,PEN,Health,4424.75
BH92 STHP 3SJA AJ7W SXJA PC,2021-04-18,NOK,Kitchen,2602.26
SA55 84MI DQK9 4KZO EM5F DFHP,2023-04-09,IRR,Food - Meats,3773.16
SM86 K753 8174 500F UXNF HTIY LLL,2025-03-05,BRL,Home Appliances,-4697.24
MD09 YDHT QVC0 4MAW FO4C 2VSB,2022-10-24,IDR,Food - Condiments,-121.48
GT44 6MQM 0WHB J45S IPVP TQWZ MNP0,2025-07-21,COP,Pets,-544.61
NO84 5299 4284 881,2023-02-22,CZK,Food - Snacks,-534.07
DK94 7061 2274 3802 43,2025-09-03,ISK,Office,-4016.31
LI53 6308 9JS1 CUBE BJTS 4,2022-11-28,EUR,Kitchen,4512.97
FR39 3880 4205 9656 SMP1 QFO1 C99,2020-02-24,CNY,Pets,1424.89
HU82 3997 6002 1089 1292 2413 9349,2023-04-26,CNY,Kitchen,-2217.37
HR69 5616 9593 9376 6708 8,2022-12-20,BRL,Food - Freezer,-1322.12
CR66 9476 1678 6633 9923 2,2020-12-02,CNY,Garden,-4051.43
AL40 4854 8185 X6PY 6PEV UCH8 OK5J,2025-12-19,CZK,Office,-1495.75
MR21 4354 5832 7203 7897 8697 141,2020-12-22,COP,Clothing - Tops,882.7
SA80 83KB AEVC K6EW WRJ7 T5D3,2024-07-03,RUB,Electronics,2287.95
FR75 9072 7735 94SQ G9JS MG3S V04,2023-03-15,PEN,Fitness,-3943.48
FR68 4156 0410 08UX SO5G BTGN 756,2022-01-29,CNY,Electronics,-4134.91
BA26 9195 8401 1103 3795,2022-02-07,RSD,Office,597.12
SM07 F451 7886 014B S6RX HVJL DST,2024-05-17,CNY,Health,919.87
FR39 5626 6795 98Q4 45KR QY03 234,2023-12-26,DOP,Automotive,2756.11
PL31 8702 1499 7847 1474 7733 2593,2021-06-02,ZAR,Food - Nuts,4150.43
SA60 78ZD E5C3 Z1CV OBSR BMMR,2021-08-24,RUB,Kitchen,-2510.27
MK14 206G 6QUH JRYI S17,2021-03-29,ALL,Garden,4461.13
FR85 0836 3529 26LN WMY1 RROO 216,2020-06-02,PHP,Fitness,4055.76
IL90 8303 4055 5005 5849 911,2020-09-18,CNY,Outdoor,-4990.56
KZ67 320Y NXMC 55XP CSN7,2021-07-16,EGP,Food - Baking,-3505.97
IT76 V106 7829 823L KOWG UGBC JH5,2022-10-28,HRK,Fitness,4328.6
VG56 LXVJ 3020 5650 8468 4059,2020-04-22,CNY,Photography,-1630.07
MT64 HJYW 5128 5WTF QDJF TYG3 PYO1 FOX,2025-09-06,PLN,Pets,-1503.13
NL35 NIXE 8918 0582 62,2025-09-09,EUR,Kitchen,-1906.96
AL87 0182 7254 VYIO UXED CERM ORPN,2021-02-10,PKR,Food - Canned Goods,-371.42
SK35 6461 8271 2620 1810 2901,2020-01-15,ARS,Fitness,4553.18
FR82 8983 2385 608B CE0Z TID4 A61,2022-11-23,CNY,Food - Canned Goods,-3188.62
FR34 9275 7479 76DK MBDJ 4WKG P70,2020-10-10,JPY,Accessories,-292.38
SA69 73RU TM1M WP0Q TN1W YXOR,2025-08-23,XAF,Accessories,4792.78
VG13 UPAD 4330 3375 2270 7875,2020-09-01,CZK,Food - Canned Goods,-3372.33
NO11 2004 5276 628,2022-11-18,PEN,Clothing - Activewear,-4700.24
BH06 YXVN NK6R P28U H2RN DY,2023-10-06,IDR,Photography,-3397.19
HR21 8711 0822 1828 5544 5,2025-11-14,CNY,Food - Breakfast,-4974.95
DO24 8T7T 4214 3357 2356 0112 4536,2022-03-06,IDR,Clothing,-4314.23
NO33 7373 6491 483,2025-04-10,PHP,Kitchen,874.31
DE89 7317 7925 1136 0630 17,2024-11-10,SEK,Food - Baked Goods,-4386.5
MC61 4845 4625 23N2 EKQR 70P6 T92,2025-12-30,RUB,Food - Fresh Produce,887.86
FR63 3517 1871 65AR TQDK W8UM C57,2023-12-30,LYD,Toys,-2630.02
FR19 1625 3715 040N HFWU U8TG S36,2024-07-20,RUB,Food - Dairy,2418.07
PS41 IYEV EQ3R BCBA SRHE 822X OZLQ F,2020-02-05,EUR,Food - Snacks,-1338.35
LV57 IRAU BBBM WYET KWJU C,2021-06-30,JPY,Health,508.99
AZ02 NZGJ BWDT YJE3 8WKG UST8 0CPF,2025-08-29,EGP,Pets,-721.2
DE64 6717 7427 2391 0203 09,2023-08-12,ZAR,Clothing - Pants,-3939.86
FR05 2316 1632 49V3 2UVH PUAF W76,2024-12-19,RUB,Food - Oils & Vinegars,4110.84
AZ79 PROO KXR1 EYPS CE0S ZPYZ DGBI,2023-04-07,UAH,Food - Condiments,2124.45
ME58 6052 9707 2827 4007 74,2022-04-02,IDR,Food - Bakery,4520.08
IS83 3425 9547 9017 4252 3372 38,2020-05-24,CNY,Food - Seafood,-454.15
HR65 7020 8825 1453 9522 4,2021-05-08,BDT,Kitchen,-679.25
CY05 3804 0191 MUBF K5GG QCOT LXNX,2020-12-27,UAH,Kitchen,2378.45
GR80 3068 035R CSQS EZFT ONIX BOQ,2022-07-03,EUR,Kitchen,504.26
EE53 5462 5914 6532 4186,2025-01-25,CLP,Fitness,3555.66
GL61 2522 1070 7978 85,2024-11-21,THB,Kitchen,-2536.78
FR77 8167 9726 27G1 ZQML PXMC S97,2022-08-08,PKR,Food - Snacks,-1761.37
FR02 1498 3743 63LO JJEL IFBH R49,2024-06-26,EUR,Clothing,-4585.98
DO13 SGQF 4591 5141 0447 0522 9238,2021-03-25,CNY,Beauty,-4486.32
CZ27 1155 6876 4502 0685 4473,2024-06-15,CNY,Fitness,1219.35
MU94 LVPC 1731 5926 3494 4955 412Y KH,2020-12-16,CUP,Garden,-878.81
FR12 9148 2556 06C5 GS8O QHPY J33,2025-02-02,EUR,Health,-21.15
FR74 8275 6810 43YQ 7TQB RQQW X42,2022-05-29,PHP,Kitchen,-4211.43
AL42 1623 8159 EX36 KAYS 1S41 ATI0,2025-12-18,MXN,Food - Frozen Meals,2197.87
FR05 3005 8886 00QS 8TNM HAB8 H65,2024-12-23,PKR,Food - Meat,-1874.74
FR95 4101 4685 19UG D8UG YRRN J03,2025-10-08,UAH,Food - Baking,-2669.71
EE58 4257 0192 5328 0023,2022-03-04,MAD,Kitchen,713.7
AZ80 RKOB NCBF LCA7 2EIA OBE7 COX5,2020-10-20,RUB,Food - Grains,673.85
PK21 MOBR UL7C M8VQ F3BJ 9MIF,2025-09-08,IDR,Outdoor,2597.36
AZ45 NZYB RATL CK4L ITRK UXRO WDOT,2025-10-26,JPY,Food - Frozen,4999.65
SI77 9903 0108 9641 124,2025-05-01,CNY,Food - Dairy,1022.3
BG69 HYBB 0044 0406 BPSQ WN,2020-11-15,PLN,Clothing,-2747.41
LT30 8151 0860 6357 2511,2024-09-20,JPY,Outdoor,3335.39
DK66 8500 5925 4200 15,2023-08-27,EUR,Food - Canned Goods,-2841.2
HR08 4548 0035 6318 9560 8,2025-02-18,CNY,Food - Canned Goods,-4363.45
MK30 721F TIKG GOCJ L45,2021-09-10,MMK,Clothing - Footwear,2009.4
PL20 8957 0900 2812 1830 4462 3231,2020-12-26,BRL,Kitchen,-2267.7
KZ34 748O GP2Z 1NQP HFJW,2024-11-20,IDR,Health,-2648.04
BH49 WCJY QLRD E8A3 EXCO NB,2021-01-23,BRL,Food - Canned Goods,-2920.83
FR10 4805 8130 14F5 ATD0 WWDO D02,2024-03-01,RUB,Accessories,-964.75
FR46 4236 8575 33PZ NSOD WRAK X64,2021-08-24,CNY,Food - Condiments,-1182.12
LI83 2546 1MQ2 ENDY D50J Y,2024-12-30,IDR,Pets,-1926.9
NL37 IRGN 3892 8043 00,2022-10-15,EUR,Food - Grains,-2995.39
MU43 RRBW 0777 7594 4230 6577 942H QH,2021-11-14,EUR,Home,-3316.01
DO10 VGJE 1297 0072 9411 8996 3014,2024-01-28,EUR,Food - Salads,-887.96
TN96 5508 0783 0254 7421 0708,2023-02-12,NPR,Food - Baking,-2796.97
FR51 3575 0030 23BW 8BVY QBEK H78,2025-09-29,CNY,Office,-4928.12
CR02 4193 6946 0028 0947 5,2023-07-06,IDR,Clothing - Bottoms,-260.62
BR40 2990 0822 4427 2002 8280 374P P,2024-08-05,CNY,Food - Dairy,4009.97
RO68 EKLC ZSWO CREE IPS7 PLTV,2021-08-18,EUR,Food - Meat,-2586.64
GE91 IW61 8048 8302 0841 12,2024-01-31,CNY,Kitchen,835.08
SM31 O099 5416 577F VLFP UZW9 M5V,2025-02-05,BRL,Home,-1246.23
AZ32 PFUB LSXM KHNP 1FNN BIZL N7RS,2024-09-22,MNT,Crafts,3566.64
GR12 1226 7028 QNAR HYTF 5BTX FA1,2023-06-20,MXN,Kitchen,-101.22
LV96 JLPK ZR1Q NLIU E9YT L,2025-10-18,HNL,Food - Canned Goods,3189.79
DE82 9499 9706 1364 7226 10,2020-09-27,BTN,Health,1936.09
HR48 4365 1716 2459 1909 2,2021-01-31,CZK,Home,-4319.38
VG58 LITX 9103 6525 9503 9931,2022-06-19,ARS,Office,4994.94
SA71 11IF I8IH QHMP T5D9 JQFO,2023-10-24,AUD,Health,845.59
LV61 RRHN 2EVJ DH0R 6DDI T,2023-02-25,PLN,Food - Frozen Foods,4554.82
DE24 6293 5639 2722 9307 68,2020-09-15,IDR,Crafts,3821.47
GB73 TUUH 1007 0328 8787 22,2022-08-12,CNY,Home,4293.79
FR60 8173 7073 54VD 3APW 48GB I22,2020-06-19,BRL,Food - Produce,-2147.61
GT88 KZTN KFVY KGDG ARFJ VIK2 FNPV,2020-06-15,THB,Food - Dairy,-4212.23
AT65 2329 3580 0509 5146,2024-02-23,BIF,Health,2369.69
IE12 AYEW 9865 8329 5685 38,2022-10-16,EUR,Food - Cheese,2178.49
IT86 Q364 4610 202W KMBF WRS6 IY0,2025-08-23,BAM,Food - Condiments,3366.02
MU87 EBWW 2834 3008 5939 5273 967T MC,2021-02-15,IDR,Fitness,1009.2
GR45 8779 186Y FVPB 7FSB PDMU TUI,2023-05-31,CNY,Kitchen,-2840.02
SA20 143I Y8L3 5G78 MUQ4 KITL,2021-06-22,RUB,Food - Bakery,1937.56
FR62 6509 7676 20TC 3T0U 5SJN G68,2024-01-20,RUB,Food - Pasta,2195.97
MU13 IZDG 3047 6928 1478 8144 028J QG,2024-01-17,BRL,Accessories,3973.69
ES24 8939 3826 9740 4369 4194,2021-04-16,CNY,Accessories,4281.72
GE86 JJ50 7826 8695 2108 02,2025-12-22,EUR,Clothing,-4715.68
LV44 LEDV WMXW YPMI 2Z9G M,2024-07-24,BOB,Food - Beverages,842.69
HR11 3631 1861 5511 8018 2,2023-10-07,CNY,Outdoor,-3617.88
LT35 8615 2054 0527 1422,2022-06-24,RSD,Home,-3794.38
EE51 1265 2752 6132 7515,2025-10-03,PLN,Food - Canned Goods,-210.56
GL06 2477 8094 8323 98,2023-01-25,RUB,Food - Condiments,4495.95
MC19 4730 1487 339M PSC7 TB1P S86,2021-10-03,EUR,Toys,-4300.39
FR97 2713 9733 41KQ YC8N DFHK H63,2022-04-25,SEK,Toys,4385.27
GL31 3390 5961 7252 98,2022-12-14,BRL,Clothing - Outerwear,-475.98
FR58 3020 4037 76RA PFZ1 NGLO B86,2021-06-29,CNY,Home,430.07
PL95 4055 8750 0695 9568 9566 0974,2023-05-06,THB,Outdoor,1389.13
LI65 2042 5FE4 JONX BIYP Z,2022-11-18,EUR,Food - Snacks,-1496.92
PT86 3160 5645 9868 2816 1200 7,2024-10-14,EUR,Outdoor,2850.47
GB44 QBDH 1992 1978 3739 42,2020-12-02,EUR,Kitchen,1963.96
CR81 7523 8727 7522 5622 2,2020-12-13,RUB,Crafts,-2388.84
MT49 XMRV 1315 9U3S JFID PEJ8 9BRV WVN,2022-07-13,EUR,Food - Produce,-4980.46
FR85 4396 1678 46QP XY9C TL0C Z32,2023-05-12,BHD,Food - Prepared Meals,-1606.32
ME70 5376 8083 5788 6682 33,2023-09-23,EUR,Safety,4502.03
SM21 V899 3620 921T FXLB URND OQX,2024-12-25,MYR,Food - Prepared Foods,-3616.0
AL43 8737 3616 YZRQ MZRM N6EP KJRT,2022-12-02,BRL,Food - Condiments,633.06
FR11 2654 5294 23SR CSBQ BJDU Y95,2025-07-10,CNY,Home,-4435.2
RO15 AUAW MLMV TOCF ALK7 IAUI,2022-05-17,CNY,Outdoor,-2816.29
FR35 7526 8764 915O DBAC 5T1R H84,2020-10-04,PEN,Food - Snacks,1554.59
HU10 2067 6443 2491 3512 4447 7772,2021-08-13,TMT,Food - Snacks,-3656.23
LV86 ZQJA 99JY NHPH BSWP T,2025-05-11,CNY,Food - Snacks,520.14
FR64 7068 1807 503P EYIH VVAI A27,2023-11-22,EUR,Food - Sides,-2320.51
RO95 WAUR PWAY SV8I 8OAN AQFO,2021-03-17,PLN,Home,1648.42
VG22 CKDZ 7219 4716 1637 8134,2021-01-14,PHP,Crafts,-4228.35
ME60 0841 6351 3992 9104 02,2020-01-29,EUR,Fitness,3400.39
CY17 2522 8706 4EJC XSND OFAM JING,2025-02-25,HRK,Food - Breakfast Foods,2462.01
FR25 9924 1755 37AG HZGI KYSG L64,2021-05-07,CNY,Food - Snacks,-2789.03
FR10 3280 2739 26QG LNSH UXDZ B85,2025-06-26,PHP,Clothing - Shoes,-4013.55
IE47 GLSI 5422 9842 7995 80,2022-04-15,UAH,Food - Meat,-4887.83
MK70 484J NPQK 2KCG M62,2025-10-01,CNY,Food - Dairy,4103.39
RS35 9285 0538 8796 3530 43,2023-05-01,IDR,Food,2451.9
SK63 1365 1560 9542 4435 7221,2024-03-01,PKR,Food - Produce,-4496.15
ES17 8291 1117 7211 2974 8671,2023-08-24,PHP,Kitchen,1485.73
MC53 3855 1327 24LR VCY6 GZHB V58,2022-08-28,EUR,Kitchen,2404.45
FR79 3727 0003 92YG LREL 2YLI A13,2022-11-23,UGX,Clothing - Bottoms,-3122.42
BH25 GLXA MRPD IOO8 LJVY H2,2026-01-05,LYD,Accessories,-943.96
FR03 2610 0513 90H8 HNE4 USVB W39,2021-04-27,PHP,Food - Meat,-1420.02
LU29 175A LPPG JELA 2F90,2023-02-15,CAD,Kitchen,-418.71
FR58 9048 9288 80SM ETUK HOEM V11,2025-07-01,JPY,Health,-195.11
EE54 5093 3085 2257 5353,2021-12-29,COP,Kitchen,2955.1
EE92 5126 0559 0833 2967,2023-01-28,BRL,Food - Condiments,-1126.35
BR88 9924 6186 8964 3074 5190 215C Q,2021-02-03,BRL,Accessories,3160.73
BE85 9423 5960 3256,2022-08-24,MYR,Home,-1588.55
IL82 1956 2315 0427 9720 167,2022-07-08,RUB,Food - Canned Goods,1674.32
NL05 CSQE 0924 3147 18,2025-08-30,EUR,Pets,-1574.22
MR20 2391 2624 5148 0327 6634 584,2024-06-16,IDR,Outdoor,198.92
CY43 9232 3913 D8BU M32X WRBL USQX,2021-10-31,NGN,Food - Condiments,670.64
FR89 1425 1797 14XP SKP3 IBJW H34,2023-02-28,EUR,Kitchen,2781.61
MC19 3859 1537 74UR EESL 5DYO P09,2020-06-29,MXN,Office,3763.0
FR07 6165 4830 299T QUAI I3R5 P21,2020-10-16,PLN,Food - Grains,3029.58
AD26 5367 8401 KI1X IEFZ R8EU,2022-12-13,CNY,Kitchen,-1259.53
DE71 6218 5184 6000 7966 82,2025-12-19,CDF,Pets,3871.8
LB72 4266 OHQU W3WB L0C6 5RZV OZ0B,2022-03-04,EUR,Clothing - Accessories,-3003.19
LV53 FCXG G6RI SBJ4 UHKR 4,2025-10-01,JPY,Food - Produce,-2379.14
AD57 2882 0881 4N0K DRF4 ONEV,2025-06-04,CNY,Outdoor,-1806.09
FR08 4983 8012 55TO QASB NXSO S19,2022-04-12,THB,Food - Bakery,267.5
TR35 3467 3MPA 0DG4 XA3N 9BXB B1,2020-05-10,PHP,Food - Frozen Foods,4809.79
VG93 JVJU 3477 1133 0061 2655,2024-01-16,CNY,Pets,-4775.27
LV23 ATIY MZ40 FNE5 KDJW 3,2020-09-24,IDR,Food - Condiments,-1972.4
LT49 1245 3391 7612 4869,2021-02-13,MAD,Food - Grains,-3214.88
FR02 2162 4676 109Y UMMH 6FMC X10,2020-05-20,PHP,Food - Confectionery,-4277.53
IT42 Q328 5930 688A TIOH HRKO BPR,2022-04-15,CNY,Travel,3921.54
FR27 4881 2148 4314 0D2K EZ0Z S13,2024-09-24,IDR,Food - Oils & Vinegars,1672.45
KZ42 833X DUG5 TKLJ DKTH,2022-03-26,CRC,Smart Home,3091.2
MD50 3FTK 5RJO 1SXS BTEX ZEJH,2022-11-25,CNY,Food - Frozen Foods,3301.52
LI20 5042 7WRT OTBE SL0B B,2022-01-20,EUR,Food - Baking,-3154.91
IE34 PTHY 4768 2288 9057 58,2020-09-20,RUB,Garden,-2470.51
LT29 3564 0092 0633 1544,2023-07-03,MYR,Clothing - Bottoms,-3836.13
FR76 1617 1313 88A4 SNJR XGU9 881,2022-12-29,USD,Food - Snacks,-3897.57
AT04 8383 3553 7328 7722,2020-08-31,EUR,Food - Vegetable,-2064.98
AE42 9450 9940 2860 0814 381,2025-07-14,KWD,Kitchen,2178.31
HR91 3409 4386 6321 8036 5,2025-05-14,IDR,Garden,3938.32
BR29 4624 6007 1524 1120 9532 659L J,2025-10-11,RUB,Fitness,2714.17
SA88 15BJ JOPU UKRR KFZB MS67,2021-11-09,CNY,Clothing - Shirts,-4223.7
GB82 OARV 4009 5619 8125 18,2025-03-26,CNY,Toys,-4479.13
BA04 6283 3765 7515 4133,2023-07-07,SSP,Home,1574.22
FR03 0826 0127 17M9 OCTL YWUQ S16,2025-03-17,CNY,Food - Canned Goods,4949.68
LB74 8905 H0WM K90K SIOI 7GES DYTL,2023-11-28,CNY,Automotive,1856.82
FI88 8430 7232 5867 82,2021-10-13,SYP,Home,3949.9
MT67 NTJH 2611 3INE Y6OC HBZN YMNR TEH,2020-01-31,VND,Accessories,1811.79
DO47 IRSS 0772 6221 6558 5007 8584,2022-10-08,CNY,Food - Prepared Meals,3640.56
IL50 6520 9307 6615 0324 347,2025-01-25,CNY,Kitchen,1063.36
FR08 3632 8916 591A FB06 CTSX K41,2025-08-16,CNY,Kitchen,4544.77
CH32 4482 00JU 7FJ6 PIOU Z,2023-01-19,USD,Health,413.52
ES85 3825 5635 4672 0169 5424,2024-09-28,IDR,Outdoor,3488.34
AE72 5064 1147 6204 5870 446,2020-03-21,RUB,Food - Breakfast,-46.97
DK41 4672 1882 1185 14,2024-10-23,RUB,Kitchen,-2962.84
FR05 4624 5107 47CD LG71 SVCH B02,2025-08-14,EUR,Food - Seafood,1117.45
FR17 8613 0045 720F FYGI ALYH O99,2021-10-12,EUR,Food - Condiments,-1957.65
